tweet_idx,tweet_text,model_responses,corrected_model_responses,offense
1729042634071781736,@user Khujli mitana hai to waisa mard dhundo har kisi ke bas ki baat nhi hoti aurat ki pyas bujhana,"

OFF",1,0
1729042559375438098,@user 😏ja na gawar ladki,NOT��,0,1
1729042501426929959,"Yeh ank!ta didi manna obsessed hai..itni negative&amp;fake aurat meine khabi nehi dekhe. Idher se udhar chugli karti rahti hai yeh sab double standard logo ko yeh sab dekhai nehi deta, #MannaraChopra #BB17onJioCinema #BB17","

OFF",1,1
1729042352910807441,@user @user mujhe to yeh smajh nhi ata ki log abbu ko isliye degrade aur shade krte hai kyunki usne jiya nd manisha ko bhen bola hai but ladke iss bat se relate krenge ki agar aap kisi ladki se pehli baar milte ho to sabse pehle didi hi bolte ho agar naam nhi pata to fir usne sabko didi bola,"NOT

",0,0
1729042296526770518,@user bhai pagal aurat hai gir jaye meri bala se,"NOT

",0,1
1729042269850968532,"Iss ladki ko unfollow krr rha hu bhai pura din Mera Lunn ye, mera Lunn wo krti rhti hai tl pe iske paas hai bhi nhi phir bhi 😭😭","

ON",0,1
1729042192419979415,@user Mere ko Shak hai ki ladki bhi ya nahi 🤣🤣🤣,"

",0,1
1729042113432813941,Aurat ko sab se ziada izat quran ne di hai 💯 ,"NOT

",0,0
1729042090783646066,@user I'm curious aaese comments karne se koi ladki impress hoti bhi hai ya nhi,"NOT

",0,0
1729041670615027990,Ankita ka kaam hain bs beth ke chugli karo! Iska koi game hi nhi hain... phir bhi bahu top 2 mein hogi. Useless aurat... #MunAra,,0,1
1729041616340742420,"@user Wahe na ladki ko kese b dia, pseudo feminism ..... 
 😂",NOT,0,1
1729041584715674000,@user Ek fan boy ne esa bola hota ladki k liye kya kya karte log,"

Note",0,0
1729041456424452472,@user @user Lagta hai mujhe Jis ladki kei talas thi vo mil gyi 🥰🥰🥰,NOT,0,0
1729041382483116305,@user Paggal hai yeh aurat aishwarya..,OFF,1,1
1729041357065625795,"@user @user Bitches are attracted towards money
 Atleast koi ladki toh pata paunga
 Money flex karke",,0,1
1729041102920188238,@user Gandi aurat se yhi ho skta ha gand ki paidawar,"NOT

",0,1
1729041036574695468,"@user @user @user @user Aaj aa jana apne doodh ka hisab kar lena mahine ka, jake baap daada se poch tumhari ladkiya thakuro ke yaha nachwate the aur paisa kamate the","NOT

",0,1
1729040999471817139,"Valentines 2023 ko proposal aaya tha ek ladki ka...long distance isliye maine masti me taal diya...
 

 Just came to know she got a boyfriend now ","
  O",0,0
1729040527159636215,@user Kaise pata ki ye wahi aurat hai? Waise atanki hi lag rahi hai ye.,NOT,0,1
1729040210464551155,@user Isme hamara Gujarat sabse best hain.mene to ese families bhi dekhe hain ki ladki k parivarwale agar shaadi ka Kharch nahi utha pa rahe hain to ladke wale hi paisa kharch karte hain.,"

ON",0,0
1729040166348882169,@user Bkl pajeeta you made a video of so many people without their consent and uploaded on social media where million can see. Yahi sikhaya gya hai tujhe aurato or baccho ki video bana kar sab ko dikhana. Sudhar jaa bhen ki love di,"

Note",0,1
1729040115627065585,@user Ye AI Ladki,ki kya,0,0
1729040104105382126,"@user @user Wo vaise hi kharab ladki h,i think she is ex-abhiya may be...I already blocked her so it means she also previously do bad post for #ManishaRani
 

 #ManishaSquad do not keep attention on these cheap people.
 Do streaming latest vlogs and #BaarishKeAaneSe ","


",0,1
1729039914157948946,@user @user Aurat hot hai🔥 ,"

A",0,0
1729039889021440375,@user La chapri ladki  trying to gain public attention,NOT,0,1
1729039496128483839,@user Wo England gaya lekin angrez ladki nahi dekhi joke to ye tha😂,"

Note",0,0
1729039324535235056,yeh ladki moean karte time bhi Mahi Mahi ki awaaj nikalti hai,NOT,0,1
1729039257212444955,Isbar #BB17 ki saree ladkiya fake and toxic hai.. irritating hai no cuteness at all..koi ek to ho alag..sab k sab same..no heart to heart connection at all..#AbhishekKumar k season mein hi aisi chudailo ki ana tha,"OFF
",1,1
1729039140828934221,@user I can't believe ek ladki hokar kisi ladki k bare main koi yesa kayse bol sakta hai,NOT,0,0
1729038953914015938,"@user @user Capt Sahab chhoda na yaar , ye aurat sanghi hai 😄, gao se bahar nikli nahee😄😄",OFF,1,1
1729038934326518028,"Ladki ko baksh do nalaykon !! 😑
 That's all I wanna say 🙏
 #TejasswiPrakash ","OFF
",1,0
1729038650380570802,"Mardon ke liye har zulm ravaa,
 Aurat ke liye rona bhi KHataa!
 Mardon ke liye har aish ka haq,
 Aurat ke liye jeena bhi sazaa! 
 Mardon ke liye laakhon sejein,
 Aurat ke liye bas ek chitaa!
 Aurat ne janam diya mardon ko,
 Mardon ne use bazaar diya!
 

 ~Sahir Ludhianvi","

OFF",1,0
1729036502095761839,@user Exactly. It's a crime for women and normal for heroes. 🤷🏽‍♀️,,0,0
1729038388274368553,@user Jo log itne dino se waha din raat mehnat kar rahe hai tum unka manobal gira rahe ho apne political swarth ke liye besharam aurat kuch acha nahi kar sakte toh bura toh mat bolo ....yeh kya pappu ka drama nhi hai jo coolie ke sath Khali 200gm ka suitcase sir pe uthake photo kichna,"NOT

",0,1
1729038335904190619,"Un gadho ko kaha samajh aayege wo bhi to us gandagi ke hi fan h unko is cheap aurat ki reality kaha dikhegi mujhe to us Fake Rani ke naam se hi ghin aati hai
 #Abhisha #AbhishekMalhan",OFF,1,1
1729038228689498573,@user @user @user sidha bolo tumko yakeen nahi ho raha hai skipper ko koi ladki reply bhi de rahi h 🤣🤣🤣,"NOT

",0,0
1729038185429426267,@user Sabko yha dikkat abhi se hoti h just bcz vo ladka h toh uske bare m kuch bhi bolenge koi stand nhi lega pr jab koi ladki ke bare m bolde toh sab khade ho jayenge,"NOT

",0,0
1729037997981774075,Kya ghatiya aurat hai #AnkitaLokhande. She's on a mission to break #MannaraChopra completely &amp; make everyone against her. Kabhi #AbhishekKumar ko bhadkati hai kabhi #MunawarFaruqui ko. Iska khaana nahi digest hota hai bina manna jaap k &amp; bolti hai manna is insecure #MunAra #BB17,OFF,1,1
1729037937466294487,"Club mein ashleel moves karke attention lene wali ladki
 

 Mann mein usko ₹and sochne wala mein
 

 Mujhe apna ashiq samjti wo 😢 
 

 Kya zamana hai bc 😂","NOT

",0,1
1729037685279621338,"@user Aajkal sabhi tharki hai chahe wo 8-9 saal ke bacche ho ya 80-90 saal ke or ladke ho ya ladki ab ab Modi ji ko hi dekh lo kanha 74 years ke ho rahe hai or kis tarike se 45 saal ki maloni ji ko line mar rahe the ab koi tumhe tharki bole to yahi bolana "" yatha Raja thatha praja""","NOT

",0,0
1729037546183872734,"@user Ek dum jhail aurat hai. Inke liye hi kaha gaya hai. Padhe likhe anpad gavar. Tumko malum hai ky waha ki condition kaisi hai, tumko to free ka net mila hai, to kuch bhi likha dogi. Pagal aurat,
 Thoda bhi miti gira to unko kahtra hoshakt hai. 
 Par tumko rajniti karni hai. Chudyal","

Note",0,1
1729036741406011481,New hot couple spotted #TejRan #TejasswiPrakash #KaranKundrra 🥵 🔥 ,NOT,0,0
1729037253186633741,"@user Apni harkate sambhalo pahle. 
 Khud pura din Abhishek k liye thirst tweets karti ho or GC mein ek dusri ladki ko Character Assasinat karti ho. 
 Tum jaisi ladkiya hi sabit karti hai ki aurat hi aurat ki dushman hai. 
 Shame on you. ","
OFF",1,1
1729037062068916344,"Aurat hi aurat ka sabse bada dushman hai no dought
 

 #ManishaRani𓃵 #Abhisha",#Hindu,0,0
1729036452162633881,Bhai #chunkita ko mann karta hain ki do thappar lagaun zor ke. gaaliyan dene ka mann karta hain iss aurat ko #MunAra,,0,1
1729035986129342480,"@user Toh ladki pta, shaadi kr, aur jo kaam hai woh kr, waise bhai ek mere liye bhi ladki dhundh dena😂",NOT,0,0
1729035959877185872,"@user @user Yaar sexy joshi,
 

 Kabhi koi aisa repost bhi kar diya kro jisme ladka muslim ho aur ladki hindu...99% case to aise hi hote hai sweetu....itni cute hokar bhi aise dil todne wali one side baate na kro...
 

 Anyway miss u so much meri laddu @user 😘😘","

Note",0,0
1729035957645771108,@user Ek esi sanskari ladki to har ladka deserve krta hai❤️,"

ON",0,0
1729035953879347456,"yrr abhi ke ladka ladki waisa nhi haii, aur bolte haii ki dulha london me rahega &amp; patni Paris me rahegi , hmm 😂😌😂🤣
 

 Aur fir video call krke, emoji story pe sabko dikhane ke liye Screenshot lagate haii😂😭🤣😂
 

 Just for fun 
 #ManishaRani #Elvisha","NOT

",0,0
1729035566497591688,"@user Q natak karte ho bhai , kam wali khala ko rakh lo , ek aurat ko rozgaar mil jayega aur aap ki biwi ko aaram","

Please",0,0
1729035506196115756,@user bhai lekin uska comeback bc ladki ne jo pick kara hai 😭🤌,NOT,0,0
1729035474294202448,@user Teri phudi me Lora gushti aurat dafa bhen ki phudi Teri,,0,1
1729035462428471623,@user Ye ladki kitna acha acha krti😤😤 itna acha to hu bhi nhi me😭 ,"

OFF",1,0
1729035434607645127,@user Aurat hoti hi hassin h,"NOT 
",0,0
1729035263643648509,@user @user @user @user @user @user Pehle indianz ko batav... Aurato ka saman kare... R manipur me jo ho rha hai usspe deyaan de... Ye tou fir b metal non living thing hai,,0,0
1729035159952060665,"Dogri Sirf Samajh aati hai Bolna nahi aati
 

 Yeh bolkar Jammu City wali ladki ne apni Aukaat dikha di 💀","

OFF",1,1
1723517875250676003,"हिंदू बहन ने अज़ान की आवाज़ सुनकर #इस्लाम कबूल किया है 
 लेकिन अभी तक किसी ने भी #मुबारकबाद नहीं दी :- ",NOT,0,0
1729034739867320371,@user @user Close friends ladka kya ladki honi chahiye? 💀💀😁,NOT,0,0
1729034105843744880,@user @user Billi ma'am ko BJP IT cell ka adhyaksh ghoshit kar Dena chahiye turant prabhav se 😍,"NOT

",0,0
1729034011434254696,"@user Bewakoof aurat , wo apne adjacent side me Jo craft tha unke crew ko hath hilaya unhone....
 Agayi Bina Gyan ke Gyan dene",NOT,0,1
1729033612849512832,@user Power k dum pr ki mra baap police vlla h m mr bhi du to bch jaunga 😞💔 or garib aurat ... Chup hokr Beth jati h.... ❌ Please koi esaa kanun layiyee .... Jisse kisi ki himmt hi na ho ..hath uthane se phele dare ki ... Uthaya to saza hogi... Or ajkl police vlle to...gunde bngye h,"

",0,0
1729033561989361783,"@user Haa abhi dekha maine, hypocrite ladki ca pe gyaan pelti hai aur khud gc mein same chiz karti hai 🤡.","

",0,1
1729033488157012333,Samm ek payari si ladki hai jiski bohot payari awaj hai ❤️ cute+ savage+ fire= Sammmm,OFF,1,0
1729033326420500917,@user Kon hai Jo itni fursat mai hai Jo is aurat p apna time waste krega @user,NOT,0,1
1729033318799462665,@user @user @user @user wo kya hai na hum logo ke yaha ye naja@user dhande nai karte na ki Sid ka kuch na hoke bhi tum uska naam jodo uss aurat ke sath jo kisi aur ka bed gar@user kar rahi ho. we call such act as shamelessness. Aur tum aisi he gal@user khati rahogi,OFF,1,1
1729033242211451189,"@user Sir apse ek reqst ..h koi esa kanun layiyee jisse aurat pr hath uthane vllo ki acchi khasi dhulayi ho...💔 Ajkl k aadmi to ... Aurat lrkioo pr hath uthadete h kya kanun itna kmjor hochuka h ki ab kisi ko koi dar hi nhi rhaa.... Jb mrzi JIS mrzi pr hath uthadete h ...ldke, admi","OFF
",1,0
1729032974933594382,@user Ladki milna easy nahi,"NOT

",0,0
1729032755756044789,Yaar ye ladki har month mujhse breakup aise karti hai jaise Netflix ka monthly subscription payment. I am worried kisi din sach mein naa chod de. Life is so difficult without her 😭😭,"

OFF",1,0
1729032684343808361,@user @user @user Bro point ye nhi h ki kaun kis fd se h...kl ye madam gyaan de rhi thi...par wahi ladki same cheez dusre se saath kr rhi h...jab aap itne aache nhi ho to banne ka kosis kyu kr rhi ho...,"

",0,1
1729032581788975231,@user Ye ek sexy ladki ki hai 😍,OFF,1,0
1729032504550867295,"Khud nlli hoke dusro ko nalli bolna koi kisi van se sikho,khud thirst tweet karungi par dusri ladki ki CA karungi kya bat hai proud hona chahiye na khud pe van didi.sikho sab kaise CA pe lecture deke khud kisi aur ki CA kara jata hai,unse accha aur koi nahi kar sakta 🤡.
 #Abhisha",NOT,0,1
1729032236111130964,@user Okay but ladki kaha se lau 🥲,"NOT

",0,0
1729031791242359144,@user @user @user Tu ladki k naam pe kalank h. R@user ki aulaad . Ja jake apne muh bole bhaiyo ka l@user apne muh me le.. Kitno se cH00t marwayi h tune.. Bta bh0&amp;di wali r@user,"OFF
",1,1
1729031585767522738,"@user Arey guru khane wali aurat vo tunnel he, tera baap ka pichhwada nahi jaha se hath daal ke nikal le",NOT,0,1
1729031301578330343,@user @user @user @user To kya ladke to jo marji bola jayega sab chup chap bethenge aur ladki ho to victim card😄😄,"

ON",0,1
1729030862505902239,@user @user @user @user @user @user @user @user @user @user @user Vha bhai kya ladki h,"NOT
V",0,0
1729030844474597835,@user @user @user @user TU LADKI HE HAI NA?,NOT,0,1
1729030780947747059,@user Mehanti ladki,ki kh,0,0
1729030703650865431,"@user Shukriya
 Khubsurat ladki",NOT,0,0
1729030556397273108,@user It's fake .. maine is ladki ka post dkha hai vai wo aisi nhi hai,"NOT

",0,0
1729030441230070191,@user @user aap ki aaj tak ki achievements kya hai jindagi me khudko kuch aata nahi jaat pat pe hi ataki hai uncouth aurat,"

",0,1
1729030371164160290,@user ladki ka toh mauj hai. dahej jutaane mein toh baap-bhai ka na gaan phat'ta hai. 😬,"

",0,1
1729030146995388925,"Rus and Ukraine and israil and hamaam ki ladki dekh Kar kya lagtha hai shaadi Karni chahiye..?, Pls, share your advice to the every people !",NOT,0,0
1729030061142294581,@user @user do tamache pade is aurat ko akal thikane aa jaye,"

OFF",1,1
1729029985594388625,@user Ladka ho ya ladki dono ke muh se hi aacha nai lagta par kya hi kar sakte,"NOT 
",0,0
1729029722124992616,@user Ye Tanya Ekdum ghatiya Aurat hai,"

Note",0,1
1729029649181950070,@user Ha kyuki natural calamity he vo gawaqr aurat,"
""OFF",0,1
1729029560707190875,@user Lanti aurat!,"NOT

",0,1
1729029514192441418,"@user @user Isko bhi ye log counter karenge?
 Sharam h bhi ki nhi inme..
 Ye log itna ganda ek ladki ke bare m kaise bol skte h, mtlb ladki hoke itna ganda..
 #abhisha","NOT

",0,0
1729029424694312965,"@user Shukr hai surgeon nahi, jis ladki ko apni chinta nahi wo dusron ki kya parwah karegi. Ye bhi dangaion ke giroh se hai",NOT,0,1
1729029295967019140,"@user Mai ek ladki hu bohot din se mai dekh rehi hu Manisha ke filtering nature ko lekar sabko problem hai 🙂
 Kiunki uo content ke liye usko use karti hai isiliye sab questions karne ki charector pe sawal utha ta hai 🙂
 Are yaar bohot ladkiya asi hoti hai
 Uo log dikhate nehi hai 🙂","
OFF",1,0
1729029205688787049,@user Nice choice of the car by ladki wale though.,NOT,0,0
1729028602602344712,@user Wo pehli wali ladki achi thi name yaad nhi but she was good.,NOT,0,0
1729028586290761836,@user Pagal to nhi ho gyi hai yeah aurat,"

",0,0
1729028536768581698,@user ye ladki hume maar hi dalegi 😃,NOT,0,0
1729028160325607651,@user @user sir look at this pathetic aurat,"

",0,1
1729027840153375070,@user Ladki bhi isliye rakhi hai inhone taki berozgaar ladke inka show dekhne aye 😂,"

",0,1
1729027759375364275,Maine to Apne papa k paise kharch kiye h ladki par jab khud kamane k baad kharch Karna hota h to bada dukh lagta h,"

M",0,0
1729027072184787057,"During my College days, I used to save some money for my future by not hanging with any girl, didn't used to go to any Restaurants/ watching movies. But now wasting money for filling forms of all these Marriage bureaus for something which is never going to happen.","

OFF",1,0
1729027410400792657,@user Modi ji..ladki man gyi..uske papa nhi man rahe h 🥺,"OFF
",1,0
1729026410885595160,"@user @user 😂😂 
 Ladki bahar se le aao per shaadi India mein he honi chahiye 😂","OFF
",1,0
1729026270762320140,"@user Aur ladki sunder bhi hai, rishta pakk ho jyga ab",NOT ,0,0
1729026269512392707,@user @user Drama aurat #haramimahua,"NOT

",0,1
1729026170820411462,@user Anpadh aurat … Nano ka failure Samajne k liye aukaat nahi hai teri ..,OFF,1,1
1729025870470468089,@user Mai to har ladki k dm me jata hu,"NOT

",0,0
1729025771845591374,@user @user @user @user Mai yahi comment krne wala tha kal ki yeh chanchal aabh puchegi what is chinra 😂 cute boka hai yeh ladki 😅,"

OFF",1,0
1729025139478872203,@user Ye koi dhood peeti bachi nae hai Jo srff ladke ko blame kr rhe ho aur isme b religion ka angle beech mei laa rhe ho isme dono ki gltii hai aur isme religion ka koi b role nae hai aur dekha jaaye tou zdaa gltii ladki ki hai jiske bache b hein aur husband b .. have some sense,"

OFF",1,0
1729024559855366335,"@user @user @user @user @user Mardo ke beech aurto ko nahi Jana chahiye
 Aurato ke beech mardo ko nahi Jana chahiye.
 This is Deen e islam","NOT

",0,0
1729024150386393260,"@user Ladki ho
 

 Dabane kya
 

 Chatne vala bhi mil jayega
 

 😂🤣🤣😭",NOT,0,1
1729024097001275484,"Ek ladki hai, 
 Usne aur mene milke socha tha ek din ki
 

 Woh IAS banegi
 Aur mei Businessman
 

 Then hum shaadi krr lenge
 

 Maharana Pratap ke palace mei
 Book krke
 

 Fir sab ko jalayenge
 

 Then switzerland jayenge honeymoon ke liye
 🙂🙂","NOT

",0,0
1729023986858910150,@user Chotiya aurat,"

",0,1
1729023617512649011,"@user Mard Har us aurat se aadhi muhabbat krny lgta ha
 Ju uski pori bat sunti hu",OFF,1,0
1729023591168299179,"@user Yeh ladki hamesha nashe me choor lagti hai,
 

 Surkh pahle to dulhan, safed pahne to hoor lagti hai❤️❤️","


",0,0
1728846913175421003,Meri pasandida aurat ne mere ache khase jeevan ke loveday lga rkhe hai,NOT,0,1
1729023282996003157,"@user @user Ghanta Strong.. 
 Aur koi nhi bolta Dil ka acha hai n all Sabka Ek Hi RR hota hai Kitna Battamiz hai Ladki se bat karne ki tamiz nhi blah blah blah blah 
 Aur wahin same time ladki kare to wht a strong Girl ..
 

 #hypocrites","NOT

",0,1
1729023206454132964,"@user Chhinal @user jaise Chhinal koi aur nahi . 
 

 Review from Customer @user n @user .
 

 Sachi kal Jhaatu @user ne international media ko bataya ki Chhinal @user Sunny leone aur Italian bar dancer se bhi kahi ache se entertain karti .","

",0,1
1729023106352877637,@user Maa boli ladki mast h .. lekin mere liye out of league h 🥱🥱🥱,"

",0,0
1729022704110739727,@user Ladki cute h waise.,NOT,0,0
1729022639715524982,"Shadi ki Jarurat kya hai ?
 Ladki Ladke ke Ghar aakar Direct rahe. #Liberandu Banana hai to 100% bano.","OFF
",1,1
1729022509738271143,"@user Sahi kiya, video me saaf dikh Raha hai pehle humla us aurat ne kiya.","

OFF",1,0
1729022107559006210,"#Anupamaa
 So finally dkp addressed the haters who berated Anu calling her maid if she is cooking for her loved ones ❤👏
 Aazadi aurat ke apni khushi se kuchh bhi karne mein hai well done dkp 👏👏 #RupaliGanguly ",NOT,0,0
1729021998561661295,@user Jahil aurat apni zaban nahi badal saki logon ka future kia badlay gi,"

Note",0,1
1729021646651208149,"@user Ladke ko koi nahi puchega agar kuch valuable nahi kia hua h to 
 Aur ladki value ke sath paida hoti h she needs to preserve it","NOT

",0,1
1729021533778321790,@user @user @user Aurat bhi muslim ho sakti hai,"NOT

",0,0
1729021309106139499,@user Ye vahi hai jo karvachauth ke tyohar pe vrat rakhne vali aurato ko backward thought kehti thi,NOT,0,0
1729020911599411517,"@user @user achha ek bat batao ladki ke maa baap ne shaadi ke liye haan kyu kari ?? 
 Dusra ladka mil jaata bina dahej wala. Par sarkari naukri wala 25-30 lakh package wala ladka chahiye rehta hai isliye sab karte hain.","NOT

",0,1
